"id","title","year","cites","venue","inst","atHome","inCv","doiInCv","authors","overlap","verdict"
"W2770676323","Mass Spectrometry Imaging: A Review of Emerging Advancements and Future Insights","2017","1053","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Amanda R. Buchberger; Kellen DeLaney; Jillian Johnson","3","keep"
"W134095429","Immunobiochemical and molecular biologic characterization of the cell proliferation-associated nuclear antigen that is defined by monoclonal antibody Ki-67.","1991","899","PubMed","","False","False","False","Johannes Gerdes; Carol J. Schlueter; M. Duchrow; Claudia Wohlenberg; Christiane Gerlach; Ingrid Stahmer; Sabine Kloth; E. Brandt; H D Flad","0","drop"
"W2766710101","PKM2 methylation by CARM1 activates aerobic glycolysis to promote tumorigenesis","2017","316","Nature Cell Biology","University of Wisconsin–Madison; Tianjin University","True","True","True","Fabao Liu; Fengfei Ma; Yuyuan Wang; Ling Hao; Hao Zeng; Chenxi Jia; Yidan Wang; Peng Liu; Irene M. Ong; Baobin Li; Guojun Chen; Jiaoyang Jiang; Shaoqin Gong; Wei Xu","14","keep"
"W2072256038","Exploiting the Reversibility of Natural Product Glycosyltransferase-Catalyzed Reactions","2006","290","Science","University of Wisconsin–Madison","True","False","False","Changsheng Zhang; Byron R. Griffith; Qiang Fu; Christoph Albermann; Xun Fu; In‐Kyoung Lee; Jon S. Thorson","4","keep"
"W2839646944","Extracellular matrix scaffold and hydrogel derived from decellularized and delipidized human pancreas","2018","268","Scientific Reports","University of Wisconsin System; University of Wisconsin–Madison","True","True","True","Sara Dutton Sackett; Daniel M. Tremmel; Fengfei Ma; Austin K. Feeney; Rachel M. Maguire; Matthew E. Brown; Ying Zhou; Xiang Li; Cori O’Brien; William J. Burlingham; Jon S. Odorico","11","keep"
"W2075056982","Single-cell MALDI: a new tool for direct peptide profiling","2000","250","Trends in biotechnology","University of Illinois Urbana-Champaign","True","True","False","Rebecca W. Garden; Jonathan V. Sweedler; Jonathan V. Sweedler","3","keep"
"W2736206659","Electron-Transfer/Higher-Energy Collision Dissociation (EThcD)-Enabled Intact Glycopeptide/Glycoproteome Characterization","2017","213","Journal of the American Society for Mass Spectrometry","University of Wisconsin–Madison","True","True","True","Qing Yu; Bowen Wang; Zhengwei Chen; Go Urabe; Matthew S. Glover; Xudong Shi; Lian‐Wang Guo; K. Craig Kent","8","keep"
"W2168434032","<i>N</i>,<i>N</i>-Dimethyl Leucines as Novel Isobaric Tandem Mass Tags for Quantitative Proteomics and Peptidomics","2010","202","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Feng Xiang; Hui Ye; Ruibing Chen; Qiang Fu","4","keep"
"W2907911959","Identification of Double Bond Position Isomers in Unsaturated Lipids by <i>m</i>-CPBA Epoxidation and Mass Spectrometry Fragmentation","2019","189","Analytical Chemistry","University of Wisconsin–Madison","True","True","False","Feng Yu; Bingming Chen; Qinying Yu","3","keep"
"W2328610864","Optimization and Comparison of Multiple MALDI Matrix Application Methods for Small Molecule Mass Spectrometric Imaging","2014","180","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Erin Gemperline; Stephanie Rawson","2","keep"
"W2735594703","Quantitative proteomics reveals that long non-coding RNA MALAT1 interacts with DBC1 to regulate p53 acetylation","2017","179","Nucleic Acids Research","University of Wisconsin–Madison; Tianjin University","True","True","True","Ruibing Chen; Yun Liu; Hao Zhuang; Baicai Yang; Kaiwen Hei; Mingming Xiao; Chunyu Hou; Huajun Gao; Xinran Zhang; Chenxi Jia; Yongmei Li; Ning Zhang","12","keep"
"W2329888557","Natural-like Replication of an Unnatural Base Pair for the Expansion of the Genetic Alphabet and Biotechnology Applications","2013","169","Journal of the American Chemical Society","Scripps Research Institute","False","False","False","Mélissa Degardin; Thomas Lavergne; Denis A. Malyshev; Kirandeep Dhami; Phillip Ordoukhanian; Floyd E. Romesberg","0","drop"
"W2223493846","Generation of serotonin neurons from human pluripotent stem cells","2015","167","Nature Biotechnology","University of Wisconsin–Madison","True","True","True","Jianfeng Lü; Xuefei Zhong; Huisheng Liu; Ling Hao; Cindy Huang; Mohammad Amin Sherafat; Jeffrey R. Jones; Melvin Ayala; Su‐Chun Zhang","9","keep"
"W4400733483","Mass spectrometry imaging for spatially resolved multi-omics molecular mapping","2024","150","npj Imaging","University of Wisconsin System; University of Wisconsin–Madison; Wisconsin Institutes for Discovery","True","False","False","Hua Zhang; K. Lu; Malik Ebbini; Penghsuan Huang; Haiyan Lu","5","keep"
"W2335247296","High-Resolution Enabled 12-Plex DiLeu Isobaric Tags for Quantitative Proteomics","2014","149","Analytical Chemistry","University of Wisconsin–Madison; Highland Community College - Illinois","True","True","True","Dustin C. Frost; Tyler Greer","2","keep"
